x9_dailypurchase_t0_starbeta, 0.035
x9_dailypurchase_t0_se, 0.022
x9_dailypurchase_t0_n,1710
x9_dailypurchase_t0_r2, 0.28
x9_dailypurchase_t1_p, 0.47
x9_dailypurchase_t1_beta, 0.016
x9_dailypurchase_t1_starbeta, 0.016
x9_dailypurchase_t1_se, 0.022
x9_dailypurchase_t1_n,1710
x9_dailypurchase_t1_r2, 0.28
x9_dailypurchase_test, 0.440
x9_wifepersonal_cmean, 0.299
x9_wifepersonal_csd, 0.458
x9_wifepersonal_t_p, 1.00
x9_wifepersonal_t_beta, 0.000
x9_wifepersonal_t_starbeta, 0.000
x9_wifepersonal_t_se, 0.019
x9_wifepersonal_t_n,1705
x9_wifepersonal_t_r2, 0.26
x9_wifepersonal_t0_p, 0.39
x9_wifepersonal_t0_beta, 0.020
x9_wifepersonal_t0_starbeta, 0.020
x9_wifepersonal_t0_se, 0.023
x9_wifepersonal_t0_n,1705
x9_wifepersonal_t0_r2, 0.26
x9_wifepersonal_t1_p, 0.41
x9_wifepersonal_t1_beta,-0.019
x9_wifepersonal_t1_starbeta,-0.019
x9_wifepersonal_t1_se, 0.023
x9_wifepersonal_t1_n,1705
x9_wifepersonal_t1_r2, 0.26
x9_wifepersonal_test, 0.137
x9_borrow_cmean, 0.697
x9_borrow_csd, 0.460
x9_borrow_t_p, 0.57
x9_borrow_t_beta,-0.010
x9_borrow_t_starbeta,-0.010
x9_borrow_t_se, 0.019
x9_borrow_t_n,1656
x9_borrow_t_r2, 0.35
x9_borrow_t0_p, 0.84
x9_borrow_t0_beta,-0.004
x9_borrow_t0_starbeta,-0.004
x9_borrow_t0_se, 0.022
x9_borrow_t0_n,1656
x9_borrow_t0_r2, 0.35
x9_borrow_t1_p, 0.48
x9_borrow_t1_beta,-0.016
x9_borrow_t1_starbeta,-0.016
x9_borrow_t1_se, 0.023
x9_borrow_t1_n,1656
x9_borrow_t1_r2, 0.35
x9_borrow_test, 0.644
x9_lend_cmean, 0.695
x9_lend_csd, 0.461
x9_lend_t_p, 0.92
x9_lend_t_beta, 0.002
x9_lend_t_starbeta, 0.002
x9_lend_t_se, 0.018
x9_lend_t_n,1672
x9_lend_t_r2, 0.34
x9_lend_t0_p, 0.62
x9_lend_t0_beta, 0.011
x9_lend_t0_starbeta, 0.011
x9_lend_t0_se, 0.022
x9_lend_t0_n,1672
x9_lend_t0_r2, 0.34
x9_lend_t1_p, 0.75
x9_lend_t1_beta,-0.007
x9_lend_t1_starbeta,-0.007
x9_lend_t1_se, 0.023
x9_lend_t1_n,1672
x9_lend_t1_r2, 0.34
x9_lend_test, 0.483
x9_occupation_cmean, 0.282
x9_occupation_csd, 0.450
x9_occupation_t_p, 0.86
x9_occupation_t_beta, 0.003
x9_occupation_t_starbeta, 0.003
x9_occupation_t_se, 0.020
x9_occupation_t_n,1702
x9_occupation_t_r2, 0.21
x9_occupation_t0_p, 0.40
x9_occupation_t0_beta, 0.020
x9_occupation_t0_starbeta, 0.020
x9_occupation_t0_se, 0.024
x9_occupation_t0_n,1702
x9_occupation_t0_r2, 0.22
x9_occupation_t1_p, 0.59
x9_occupation_t1_beta,-0.012
x9_occupation_t1_starbeta,-0.012
x9_occupation_t1_se, 0.023
x9_occupation_t1_n,1702
x9_occupation_t1_r2, 0.22
x9_occupation_test, 0.221
x9_workplace_cmean, 0.252
x9_workplace_csd, 0.435
x9_workplace_t_p, 0.95
x9_workplace_t_beta,-0.001
x9_workplace_t_starbeta,-0.001
x9_workplace_t_se, 0.020
x9_workplace_t_n,1697
x9_workplace_t_r2, 0.15
x9_workplace_t0_p, 0.70
x9_workplace_t0_beta, 0.010
x9_workplace_t0_starbeta, 0.010
x9_workplace_t0_se, 0.024
x9_workplace_t0_n,1697
x9_workplace_t0_r2, 0.15
x9_workplace_t1_p, 0.63
x9_workplace_t1_beta,-0.011
x9_workplace_t1_starbeta,-0.011
x9_workplace_t1_se, 0.023
x9_workplace_t1_n,1697
x9_workplace_t1_r2, 0.15
x9_workplace_test, 0.446
x9_workhours_cmean, 0.255
x9_workhours_csd, 0.436
x9_workhours_t_p, 0.73
x9_workhours_t_beta,-0.007
x9_workhours_t_starbeta,-0.007
x9_workhours_t_se, 0.019
x9_workhours_t_n,1696
x9_workhours_t_r2, 0.18
x9_workhours_t0_p, 0.99
x9_workhours_t0_beta, 0.000
x9_workhours_t0_starbeta, 0.000
x9_workhours_t0_se, 0.024
x9_workhours_t0_n,1696
x9_workhours_t0_r2, 0.18
x9_workhours_t1_p, 0.59
x9_workhours_t1_beta,-0.012
x9_workhours_t1_starbeta,-0.012
x9_workhours_t1_se, 0.023
x9_workhours_t1_n,1696
x9_workhours_t1_r2, 0.18
x9_workhours_test, 0.628
x9_participation_cmean, 0.230
x9_participation_csd, 0.421
x9_participation_t_p, 0.44
x9_participation_t_beta,-0.015
x9_participation_t_starbeta,-0.015
x9_participation_t_se, 0.019
x9_participation_t_n,1695
x9_participation_t_r2, 0.15
x9_participation_t0_p, 0.93
x9_participation_t0_beta, 0.002
x9_participation_t0_starbeta, 0.002
x9_participation_t0_se, 0.023
x9_participation_t0_n,1695
x9_participation_t0_r2, 0.15
x9_participation_t1_p, 0.17
x9_participation_t1_beta,-0.030
x9_participation_t1_starbeta,-0.030
x9_participation_t1_se, 0.022
x9_participation_t1_n,1695
x9_participation_t1_r2, 0.15
x9_participation_test, 0.211
c1_headjob_cmean, 0.343
c1_headjob_csd, 0.475
c1_headjob_t_p, 0.17
c1_headjob_t_beta, 0.030
c1_headjob_t_starbeta, 0.030
c1_headjob_t_se, 0.022
c1_headjob_t_n,1796
c1_headjob_t_r2, 0.11
c1_headjob_t0_p, 0.24
c1_headjob_t0_beta, 0.031
c1_headjob_t0_starbeta, 0.031
c1_headjob_t0_se, 0.026
